,timestamp,tvl usd value,liqw,date
248,1689296400,4220679.343662698588783750728563524,1072363414742,2023-07-14 04:00:00
249,1689292800,4218895.873109684425992891656831861,1077032297055,2023-07-14 03:00:00
250,1689289200,4221449.997525180212999095901231208,1080173694515,2023-07-14 02:00:00
251,1689285600,4209593.09083166810761735344401497,1136512251857,2023-07-14 01:00:00
252,1689282000,4207563.573891454029575972948609245,1136504879042,2023-07-14 00:00:00
253,1689278400,4231575.48560082922920676037941793,1086872452516,2023-07-13 23:00:00
254,1689274800,4243431.466826449612585934969088145,917984306034,2023-07-13 22:00:00
255,1689271200,4286630.796462749929512427202141232,1122556711155,2023-07-13 21:00:00
256,1689267600,4276410.154082941412488335822127761,1445613215607,2023-07-13 20:00:00
257,1689264000,4262012.248479548296985861814462417,1302409649229,2023-07-13 19:00:00
258,1689260400,4262451.775413721255358469726764448,1302642173637,2023-07-13 18:00:00
259,1689256800,4240300.204119386885042024899725413,1338884903322,2023-07-13 17:00:00
260,1689253200,4243924.679375739854125746956768999,1338884885092,2023-07-13 16:00:00
261,1689249600,4239545.901054683469249991270943903,1337544237996,2023-07-13 15:00:00
262,1689246000,4238349.285636647940853009305831972,1338317800506,2023-07-13 14:00:00
263,1689242400,4240797.667582778482885231206376954,1338314589098,2023-07-13 13:00:00
264,1689238800,4238831.994685256205119290953486446,1338313694277,2023-07-13 12:00:00
265,1689235200,4227855.286032150017654736445261649,1443290393512,2023-07-13 11:00:00
266,1689231600,4227035.239042677075019063500331067,1443400323346,2023-07-13 10:00:00
267,1689228000,4218134.016551401421224218115289124,1443399301476,2023-07-13 09:00:00
268,1689224400,4226053.743146310401555675691013635,1443399301482,2023-07-13 08:00:00
269,1689220800,4224821.537403878230825099791964973,1443166943454,2023-07-13 07:00:00
270,1689217200,4221154.242172975463669632608444932,1437510386990,2023-07-13 06:00:00
271,1689213600,4239588.059702089400290212728196663,1481546342894,2023-07-13 05:00:00
272,1689210000,4239033.269263726429518672545124177,1482212192971,2023-07-13 04:00:00
273,1689206400,4240613.480263140410844037258839252,1483922685368,2023-07-13 03:00:00
274,1689202800,4240961.641887651979191110667013671,1484069314351,2023-07-13 02:00:00
275,1689199200,4239030.461222426411712879805378082,1483038840670,2023-07-13 01:00:00
276,1689195600,4239050.863025076150248959273411197,1483038840670,2023-07-13 00:00:00
277,1689192000,4239427.144583434228291524314456724,1483023548668,2023-07-12 23:00:00
278,1689188400,4240049.588386147006144617620466721,1483346360037,2023-07-12 22:00:00
279,1689184800,4252368.77648199704840379986161886,1334325050480,2023-07-12 21:00:00
280,1689181200,4246356.039588355217782818266757782,1334037222335,2023-07-12 20:00:00
281,1689177600,4254346.073322961019324128527767998,1333333588881,2023-07-12 19:00:00
282,1689174000,4258213.207268192101970638379495574,1332967733948,2023-07-12 18:00:00
283,1689170400,4265002.79856756976878219042957608,1328039422425,2023-07-12 17:00:00
284,1689166800,4255277.337039039767161167139998447,1330614482388,2023-07-12 16:00:00
285,1689163200,4264563.184695155847607461447959398,1326832767820,2023-07-12 15:00:00
286,1689159600,4264404.611747900908933707882409838,1330223240642,2023-07-12 14:00:00
287,1689156000,4264117.114232753703611343843859597,1329135458210,2023-07-12 13:00:00
288,1689152400,4266889.595361667827560575354147189,1329931257552,2023-07-12 12:00:00
289,1689148800,4265888.404195554972468860558127659,1328614451308,2023-07-12 11:00:00
290,1689145200,4265075.321157940355056148932193242,1324006970182,2023-07-12 10:00:00
291,1689141600,4262540.419214323766973920679369767,1323017233058,2023-07-12 09:00:00
292,1689138000,4257122.009880813236448314585265451,1334920337400,2023-07-12 08:00:00
293,1689134400,4255533.959538130934658270339662746,1334920337400,2023-07-12 07:00:00
294,1689130800,4252833.550543975133801469280957999,1334838879012,2023-07-12 06:00:00
295,1689127200,4253003.117895364061064579115135378,1334065785671,2023-07-12 05:00:00
296,1689123600,4247930.899542945243162697219908731,1331588220189,2023-07-12 04:00:00
297,1689120000,4246891.191774330536286007459411354,1331554641466,2023-07-12 03:00:00
298,1689116400,4249677.126887496601307083677450759,1332242519620,2023-07-12 02:00:00
299,1689112800,4242417.489409661103053716857178577,1330674781061,2023-07-12 01:00:00
300,1689109200,4245631.372379947124125458985143276,1330698901936,2023-07-12 00:00:00
301,1689105600,4246342.950618714501976669949625093,1330469419293,2023-07-11 23:00:00
302,1689102000,4243820.453193997173137818864364688,1330092790785,2023-07-11 22:00:00
303,1689098400,4244344.394987065057287465309520404,1330092790785,2023-07-11 21:00:00
304,1689094800,4248337.090814181197708246286342382,1330394312942,2023-07-11 20:00:00
305,1689091200,4250599.17052031614642108494015068,1330234519997,2023-07-11 19:00:00
306,1689087600,4249629.463586529962705477339776674,1329546920583,2023-07-11 18:00:00
307,1689084000,4259411.374790677208031599048699661,1338409507770,2023-07-11 17:00:00
308,1689080400,4253243.907596131788299209619969018,1474449523800,2023-07-11 16:00:00
309,1689069600,4131898.084697199466572160030001085,1326116489124,2023-07-11 13:00:00
310,1689066000,4133639.237700813799635463528593515,1331040823524,2023-07-11 12:00:00
311,1689062400,4150196.429937393713556232797812355,1336541039139,2023-07-11 11:00:00
312,1689058800,4132175.642797396044141241317023554,1336627236933,2023-07-11 10:00:00
313,1689055200,4131853.613791977652044214588841594,1335854147491,2023-07-11 09:00:00
314,1689051600,4126429.117124752733085648098345254,1335854147491,2023-07-11 08:00:00
315,1689048000,4126203.338921546255812661380084882,1336159911454,2023-07-11 07:00:00
316,1689044400,4126881.969733828710360142915713534,1336125839020,2023-07-11 06:00:00
317,1689040800,4126765.842144071177345140287268814,1336125839020,2023-07-11 05:00:00
318,1689037200,4126963.076544278036687513893431527,1336125551773,2023-07-11 04:00:00
319,1689033600,4121249.010490782209336976662518047,1341025881655,2023-07-11 03:00:00
320,1689030000,4109979.204438660746947042966327285,1338856545997,2023-07-11 02:00:00
321,1689026400,4107835.350399818934978469898916968,1342715676348,2023-07-11 01:00:00
322,1689022800,4113770.495163852059941768246604524,1343656212624,2023-07-11 00:00:00
323,1689019200,4147594.089084289272819341926225257,1295142347743,2023-07-10 23:00:00
324,1689015600,4131340.811312925552379075756493977,1318307331540,2023-07-10 22:00:00
325,1689012000,4110879.894267548262902963909365427,1322265803235,2023-07-10 21:00:00
326,1689008400,4102899.447099854142033079515857789,1353889559945,2023-07-10 20:00:00
327,1689004800,4101512.024383333099696225016147138,1355122695302,2023-07-10 19:00:00
328,1689001200,4098413.058922767289526784519316156,1353866901930,2023-07-10 18:00:00
329,1688997600,4099939.315743309775237050384410161,1355016104630,2023-07-10 17:00:00
